"WM.Open","WM.High","WM.Low","WM.Close","WM.Volume","WM.WAP","WM.hasGaps","WM.Count","index","Orders","Position","holdingGrossReturn","X50PeriodSMA","upperBband2SD50PeriodsSMA","lowerBband2SD50PeriodsSMA","upperBband1SD50PeriodsSMA","lowerBband1SD50PeriodsSMA","X20PeriodSMA","upperBband2SD20PeriodsSMA","lowerBband2SD20PeriodsSMA","upperBband1SD20PeriodsSMA","lowerBband1SD20PeriodsSMA","X10PeriodSMA","upperBband2SD10PeriodsSMA","lowerBband2SD10PeriodsSMA","upperBband1SD10PeriodsSMA","lowerBband1SD10PeriodsSMA","X5PeriodSMA","upperBband2SD5PeriodsSMA","lowerBband2SD5PeriodsSMA","upperBband1SD5PeriodsSMA","lowerBband1SD5PeriodsSMA","SD20Days","SD10Days","SD5Days"
153.92,154.19,153.84,153.93,77,153.986,0,72,48,0,0,1.01866172725168,NA,NA,NA,NA,NA,153.80335,154.46502292763,153.14167707237,154.134186463815,153.472513536185,154.0856,154.387287402602,153.783912597398,154.236443701301,153.934756298699,154.0912,154.306673432237,153.875726567763,154.198936716119,153.983463283881,0.33083646381479,0.150843701301131,0.107736716118518
153.99,154.11,153.94,154.03,33,154.01,0,27,49,0,0,1.01882049416201,NA,NA,NA,NA,NA,153.8425,154.451117587999,153.233882412002,154.146808793999,153.538191206001,154.1076,154.336879451035,153.878320548966,154.222239725517,153.992960274483,154.051,154.225899971412,153.876100028588,154.138449985706,153.963550014294,0.304308793999228,0.114639725517243,0.0874499857061265
154.04,154.18,153.96,153.96,49,154.076,0,46,50,0,0,1.01925710316542,152.96834,154.675538761069,151.261141238931,153.821939380535,152.114740619465,153.879,154.448549776024,153.309450223977,154.163774888012,153.594225111988,154.1149,154.333791043419,153.896008956581,154.224345521709,154.005454478291,154.0348,154.171426498162,153.898173501838,154.103113249081,153.966486750919,0.284774888011753,0.109445521709315,0.0683132490809864
154.01,154.24,153.95,154.22,198,154.1,0,176,51,0,0,1.01941587007574,153.02704,154.68219392761,151.37188607239,153.854616963805,152.199463036195,153.9121,154.449792105205,153.374407894795,154.180946052603,153.643253947397,154.1165,154.334619742853,153.898380257147,154.225559871426,154.007440128574,154.0282,154.142466355503,153.913933644497,154.085333177752,153.971066822248,0.268846052602601,0.109059871426467,0.0571331777516366
154.22,154.22,154.05,154.07,114,154.141,0,105,52,0,0,1.01968709688089,153.0701,154.726944616019,151.413255383981,153.89852230801,152.24167769199,153.94355,154.45568052407,153.43141947593,154.199615262035,153.687484737965,154.1077,154.312330941507,153.903069058493,154.210015470754,154.005384529246,154.0626,154.190503088313,153.934696911687,154.126551544156,153.998648455843,0.256065262034999,0.102315470753729,0.063951544156495
154.07,154.31,154.01,154.31,90,154.147,0,86,53,0,0,1.01972678860847,153.1139,154.766422932009,151.461377067991,153.940161466005,152.287638533995,153.9687,154.468137620572,153.469262379429,154.218418810286,153.718981189714,154.093,154.254784493145,153.931215506855,154.173892246573,154.012107753427,154.0948,154.206293497568,153.983306502432,154.150546748784,154.039053251216,0.249718810285742,0.0808922465725641,0.055746748784122
154.3,154.33,154.15,154.3,166,154.258,0,147,54,0,0,1.02046108556875,153.1631,154.802139850844,151.524060149157,153.982619925422,152.343580074578,154.00915,154.460046778945,153.558253221055,154.234598389473,153.783701610527,154.0977,154.276550775788,153.918849224212,154.187125387894,154.008274612106,154.1444,154.284304252973,154.004495747027,154.214352126487,154.074447873513,0.225448389472603,0.0894253878940483,0.0699521264866259
154.27,154.35,154.21,154.29,148,154.293,0,136,55,0,0,1.02069262064631,153.21096,154.839174394949,151.582745605051,154.025067197474,152.396852802526,154.0511,154.435779169124,153.666420830876,154.243439584562,153.858760415438,154.1113,154.327065407587,153.895534592413,154.219182703793,154.003417296207,154.1878,154.353808433521,154.021791566479,154.27080421676,154.10479578324,0.192339584561981,0.107882703793421,0.0830042167603629
154.27,154.35,154.24,154.32,94,154.302,0,86,56,0,0,1.02075215823769,153.26224,154.862368339751,151.662111660249,154.062304169875,152.462175830125,154.08645,154.421374013377,153.751525986623,154.253912006689,153.918987993311,154.1282,154.375665014362,153.880734985638,154.251932507181,154.004467492819,154.2282,154.385460293781,154.070939706219,154.30683014689,154.14956985311,0.167462006688718,0.123732507181154,0.0786301468903678
154.33,154.42,154.23,154.23,162,154.346,0,95,57,0,0,1.02104323090663,153.30738,154.899739147777,151.715020852223,154.103559573889,152.511200426111,154.1156,154.433016810486,153.798183189514,154.274308405243,153.956891594757,154.1659,154.420342222213,153.911457777787,154.293121111106,154.038678888894,154.2692,154.41952897259,154.11887102741,154.344364486295,154.194035513705,0.158708405242882,0.127221111106264,0.075164486295062
